iter	Passed	Remaining
0	1	154
1	2	139
2	3	122
3	4	109
4	6	119
5	7	120
6	8	115
7	9	110
8	10	105
9	11	102
10	12	99
11	13	97
12	14	95
13	15	92
14	16	93
15	17	92
16	18	90
17	19	88
18	20	87
19	21	85
20	22	84
21	23	82
22	24	80
23	24	78
24	25	77
25	26	75
26	27	74
27	28	72
28	29	71
29	30	70
30	31	69
31	32	69
32	33	68
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	47	55
46	48	54
47	49	53
48	50	53
49	51	51
50	52	50
51	54	49
52	55	48
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	62	41
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	70	36
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	89	15
85	90	14
86	91	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	101	3
97	102	2
98	103	1
99	104	0
