iter	Passed	Remaining
0	144	144788
1	146	73215
2	147	49174
3	148	37088
4	149	29813
5	150	24962
6	151	21515
7	152	18946
8	153	16948
9	154	15342
10	155	14022
11	157	12938
12	158	12026
13	159	11238
14	160	10553
15	161	9949
16	162	9408
17	163	8927
18	164	8490
19	165	8102
20	166	7753
21	167	7438
22	168	7144
23	169	6877
24	170	6634
25	171	6416
26	172	6226
27	173	6037
28	174	5854
29	175	5684
30	176	5526
31	177	5379
32	179	5246
33	180	5136
34	181	5013
35	182	4894
36	183	4779
37	184	4677
38	185	4581
39	187	4491
40	188	4398
41	189	4317
42	190	4240
43	191	4169
44	192	4095
45	194	4025
46	195	3955
47	195	3885
48	196	3819
49	198	3763
50	199	3704
51	200	3658
52	201	3607
53	202	3553
54	203	3504
55	204	3454
56	205	3405
57	206	3359
58	207	3315
59	208	3270
60	209	3226
61	210	3184
62	211	3144
63	212	3105
64	213	3067
65	214	3037
66	215	3006
67	216	2973
68	217	2940
69	218	2907
70	219	2875
71	220	2843
72	221	2816
73	222	2786
74	223	2758
75	224	2729
76	225	2704
77	226	2677
78	227	2651
79	228	2631
80	229	2609
81	231	2586
82	231	2558
83	232	2538
84	233	2516
85	234	2497
86	235	2476
87	236	2455
88	237	2434
89	238	2414
90	239	2395
91	241	2379
92	242	2362
93	243	2347
94	244	2331
95	245	2316
96	246	2299
97	248	2283
98	249	2270
99	250	2255
100	251	2240
101	252	2225
102	253	2210
103	254	2194
104	255	2178
105	257	2167
106	258	2156
107	259	2142
108	260	2129
109	261	2115
110	262	2102
111	263	2089
112	264	2075
113	265	2062
114	266	2049
115	267	2038
116	268	2024
117	269	2013
118	270	2001
119	271	1992
120	272	1982
121	273	1969
122	274	1958
123	276	1949
124	277	1940
125	278	1930
126	279	1919
127	280	1909
128	281	1903
129	282	1893
130	283	1883
131	284	1872
132	286	1865
133	287	1856
134	288	1848
135	289	1840
136	290	1831
137	291	1822
138	292	1813
139	293	1803
140	294	1793
141	295	1782
142	295	1773
143	296	1764
144	297	1756
145	298	1747
146	299	1740
147	301	1734
148	302	1727
149	303	1719
150	304	1711
151	305	1704
152	306	1697
153	307	1689
154	308	1680
155	309	1673
156	310	1666
157	311	1658
158	312	1651
159	313	1643
160	313	1634
161	315	1629
162	316	1623
163	317	1616
164	318	1611
165	319	1605
166	321	1601
167	322	1596
168	323	1589
169	324	1582
170	324	1575
171	325	1568
172	326	1561
173	327	1555
174	328	1548
175	329	1544
176	330	1538
177	331	1532
178	332	1526
179	333	1520
180	334	1514
181	335	1508
182	336	1503
183	337	1496
184	338	1490
185	339	1484
186	340	1479
187	340	1472
188	341	1466
189	342	1460
190	344	1457
191	345	1454
192	346	1448
193	347	1443
194	348	1438
195	349	1433
196	350	1427
197	351	1422
198	352	1417
199	352	1411
200	353	1406
201	354	1401
202	355	1396
203	356	1391
204	357	1385
205	358	1381
206	359	1377
207	360	1372
208	361	1367
209	362	1363
210	363	1358
211	364	1354
212	365	1349
213	366	1344
214	366	1339
215	367	1334
216	368	1329
217	369	1324
218	370	1320
219	371	1315
220	372	1313
221	373	1310
222	374	1306
223	376	1302
224	377	1299
225	378	1295
226	379	1292
227	380	1289
228	381	1285
229	382	1281
230	383	1276
231	384	1272
232	385	1268
233	386	1264
234	387	1261
235	388	1257
236	389	1253
237	390	1249
238	391	1245
239	392	1241
240	393	1237
241	393	1233
242	394	1229
243	395	1225
244	396	1222
245	397	1218
